Administrator Id,,Administrator Name,,Employer Id,,Employer,,,New Cards,,,Replacement Cards,,,Total Cards,
BENEFL,,Clarity Benefit Solutions,,BEN1928JC,,1928 Jewelry Co.,,,2,,,1,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN1STCAR,,"First Care of New York, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN2KAUTO,,2000 Auto Sales Inc.,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BEN3MAS,,"Alitek Solutions, LP",,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BEN3MBTOM,,"B.T. Omne, LLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MEWNG,,Ewing & Jones,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN3MFBCA,,"Fort Bend Child Advocates, Inc",,,4,,,1,,,5,
BENEFL,,Clarity Benefit Solutions,,BEN3MHRSDR,,"RSDR-RCM, Inc ",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN3MIEP,,"Integrated Equipment, Inc",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MOFS,,OFS International,,,5,,,1,,,6,
BENEFL,,Clarity Benefit Solutions,,BEN3MOPA,,"OPA 1, Ltd",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BEN3MSXPS,,"Synergen X Physicians Services, PLLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MSYNX,,"Synergen X Health Holdings, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MTERM,,Twin Eagle Resource Management,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BEN3MTESC,,"Twin Eagle Service Company, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN3MTRDP,,Threading & Precision MFG LLC,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BEN5STAR,,"Five Star Home Health Care Agency, Inc.",,,43,,,24,,,67,
BENEFL,,Clarity Benefit Solutions,,BEN713SUM,,Local 713 IBOTU - Summit Home Hlth Care,,,13,,,29,,,42,
BENEFL,,Clarity Benefit Solutions,,BEN9COHEN,,Cohen & Company,,,17,,,0,,,17,
BENEFL,,Clarity Benefit Solutions,,BEN9GUIDF,,"Guidance Residential, LLC",,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BEN9KINDR,,"Kinder Academy, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BEN9RPROF,,"RP Professional Services, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAABRIN,,AABR Inc.,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAABT,,"Associated Auto Body & Trucks, Inc.",,,0,,,4,,,4,
BENEFL,,Clarity Benefit Solutions,,BENAACRAO,,AACRAO,,,1,,,2,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAANETW,,American Action Network ,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENABCC,,UNIFIED2 GLOBAL PACKAGING GROUP LLC,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENABSUSC,,ABS US Corp,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENACACIA,,"Acacia Financial Group, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENACDS,,"ACDS, Inc.",,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BENACEHOT,,Ace Hotel New York,,,0,,,3,,,3,
BENEFL,,Clarity Benefit Solutions,,BENACELRO,,Acelero Learning/Shine Early Learning,,,0,,,3,,,3,
BENEFL,,Clarity Benefit Solutions,,BENACETUS,,"Aceto US, L.L.C.",,,6,,,0,,,6,
BENEFL,,Clarity Benefit Solutions,,BENACMEH,,"Acme Industries, Inc.",,,15,,,0,,,15,
BENEFL,,Clarity Benefit Solutions,,BENADALLC,,"Adaptive Dental Associates, LLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENADC,,"ADC Therapeutics America, Inc.",,,1,,,2,,,3,
BENEFL,,Clarity Benefit Solutions,,BENADCO,,ADCO Electrical Corporation,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENADCOCK,,"Adcock's Systems, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENADJUST,,Adjust Your Set,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENADSFED,,"Allegient Defense, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENADTHE,,"AdTheorent, Inc. ",,,9,,,11,,,20,
BENEFL,,Clarity Benefit Solutions,,BENADVOPP,,"Advancing Opportunities, Inc.",,,0,,,15,,,15,
BENEFL,,Clarity Benefit Solutions,,BENADVSOL,,"Advanced Solutions International, Inc.",,,68,,,0,,,68,
BENEFL,,Clarity Benefit Solutions,,BENAETREX,,"Aetrex Worldwide, Inc.",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAFCHLD,,"American Federation for Children, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAGPART,,Ag Partners,,,0,,,192,,,192,
BENEFL,,Clarity Benefit Solutions,,BENAHHCA,,"All Heart Homecare Agency, Inc.",,,85,,,45,,,130,
BENEFL,,Clarity Benefit Solutions,,BENAIRSPN,,"Airspan Networks, Inc.",,,14,,,3,,,17,
BENEFL,,Clarity Benefit Solutions,,BENAIRSQ,,Air Squared Manufacturing Inc,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENALCOM,,Alcom Printing,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENALG,,"A.L. George, LLC",,,6,,,0,,,6,
BENEFL,,Clarity Benefit Solutions,,BENALGIN,,"Algin Management Company, LLC",,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENALLCAR,,Allcare Homecare Agency Inc.,,,3,,,2,,,5,
BENEFL,,Clarity Benefit Solutions,,BENALLCTY,,All County Management LLC,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENALLEN,,Allen Healthcare - Local 389 ,,,0,,,443,,,443,
BENEFL,,Clarity Benefit Solutions,,BENALPINE,,"Alpine Learning Group, Inc",,,2,,,2,,,4,
BENEFL,,Clarity Benefit Solutions,,BENALT,,"Alternate Staffing, Inc.",,,15,,,38,,,53,
BENEFL,,Clarity Benefit Solutions,,BENALTIMG,,Altered Image,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENALTRON,,Altronix Corporation,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAMAGUS,,AMAG USA,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAMASIA,,Amerasia Bank,,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENAMBRIO,,The Ambriola Company Inc.,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAMCLIN,,American Cleaning Institute,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAMELHC,,"Amelia Home Care, Inc.",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAMERCR,,"Americare, Inc.",,,35,,,4,,,39,
BENEFL,,Clarity Benefit Solutions,,BENAMES,,"Ames Advanced Materials, Corp.",,,7,,,1,,,8,
BENEFL,,Clarity Benefit Solutions,,BENAMESGC,,Ames Goldsmith Corp.,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENAMHLAW,,American Health Law Association,,,40,,,0,,,40,
BENEFL,,Clarity Benefit Solutions,,BENAMLINE,,AM Liner ,,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENAMLISL,,"The Amelia Island Equity Club, Inc.",,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BENAMNOX,,"Amerinox Processing, Inc.",,,1,,,2,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAMPLIF,,Amplifi,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAMSOC,,American Society for Yad Vashem ,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENANDADV,,Andromeda Advantage Inc.,,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENANDIAM,,ANDIAMOND LLC,,,0,,,4,,,4,
BENEFL,,Clarity Benefit Solutions,,BENANGEL,,"Angel Care, Inc.",,,0,,,19,,,19,
BENEFL,,Clarity Benefit Solutions,,BENANTIOC,,Antioch Community Church of Waco,,,5,,,1,,,6,
BENEFL,,Clarity Benefit Solutions,,BENAOHDC,,Academy of Hope Adult Public Charter Sch,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAPAWAM,,The Apawamis Club,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENAPEXMI,,Apex Mills Corporation,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENAPPLIED,,"Applied Integrated Technologies, Inc.",,,7,,,0,,,7,
BENEFL,,Clarity Benefit Solutions,,BENAPSA,,American Political Science Association,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENARCHOL,,Archwell Holdings LLC,,,83,,,0,,,83,
BENEFL,,Clarity Benefit Solutions,,BENARCMER,,The Arc Mercer,,,5,,,58,,,63,
BENEFL,,Clarity Benefit Solutions,,BENARCSR,,"Analysis and Resilience Center for Systemic Risk, ",,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENARROW,,Arrowpac Inc.,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENARTC,,Urban Resource Institute,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENARWAY,,"Archway Programs, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENASMRES,,ASM Research LLC,,,69,,,0,,,69,
BENEFL,,Clarity Benefit Solutions,,BENASTHO,,ASTHO,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENASTRAL,,"Astralease Associates, Inc. ",,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENASUI,,"Anna Sui Design Studio, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENATACE,,"Atelier Ace, LLC",,,5,,,3,,,8,
BENEFL,,Clarity Benefit Solutions,,BENATLWTR,,"Atlantic Water Products, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAVA,,"Audio Visual Associates, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAVAMED,,"AVATION MEDICAL, INC.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAVAMOR,,"Avanzino & Moreno, PC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENAWFND,,African Wildlife Foundation,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENAYSTGR,,Ayers Saint Gross,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBAKERX,,"Bakers Express, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBALPOI,,Balance Point Wellness LLC,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENBAMEPI,,B Americas  P & I LLC,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBANYAN,,Banyan International LLC,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBAREIN,,Bare International,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBAYCRN,,Bay Crane,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBAYMSI,,"Bay Shore Moving & Storage, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBBBSCS,,Big Brothers Big Sisters of Cumberland,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBBC,,Bethel Baptist Church,,,0,,,12,,,12,
BENEFL,,Clarity Benefit Solutions,,BENBCM,,"Bainbridge Communities Management, LLC",,,14,,,7,,,21,
BENEFL,,Clarity Benefit Solutions,,BENBDFRD,,Bedford Capital Mid Atlantic,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBDGPRT,,Bridgeport Township,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENBEARDS,,Beardslee Transmission Equipment Co. Inc,,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBEC,,Bethesda Elite Care,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BENBEDTRU,,Bedford Township,,,27,,,0,,,27,
BENEFL,,Clarity Benefit Solutions,,BENBELKIN,,Belkin Burden & Goldman LLP,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBENFPCORG,,Fairmount Park Conservancy,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBENLECOL,,"Terminus Restaurant Associates, LLC dba Orsay",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBENLOHM,,LOHM/The Ladies of Hope Ministries Inc,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBESTPS,,Best Plumbing Supply Inc.,,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBIGGIN,,Biggins Lacy Shapiro & Co LLC,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBIOHAB,,Biohabitats Inc.,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBLACFI,,Blackfin Real Estate Investors LLC,,,7,,,0,,,7,
BENEFL,,Clarity Benefit Solutions,,BENBLIND,,Blind Industries & Services of Maryland,,,26,,,7,,,33,
BENEFL,,Clarity Benefit Solutions,,BENBLUCAD,,BlueCadet LLC,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBLUE,,Bluefin Companies,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBLUEWAV,,"Blue Wave Products, Inc. ",,,7,,,0,,,7,
BENEFL,,Clarity Benefit Solutions,,BENBLUWTR,,Blue Water Industries LLC,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENBMDARC,,"Blair + Mui Dowd Architects, PC",,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBMSLLC,,"Building Maintenance Service, LLC",,,0,,,2,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBOLAYE,,"Bolay Enterprises, LLC",,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BENBOROPA,,Boro Park Obstetrics & Gynecology PC,,,35,,,0,,,35,
BENEFL,,Clarity Benefit Solutions,,BENBOROUG,,Borough of Kenilworth,,,6,,,1,,,7,
BENEFL,,Clarity Benefit Solutions,,BENBOSWEL,,Boswell Engineering,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBOVE,,"Bove Industries, Inc",,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BENBOYDEN,,"Boyden Gray & Associates, PLLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBPMLLP,,BPM LLP,,,4,,,1,,,5,
BENEFL,,Clarity Benefit Solutions,,BENBPPRNT,,BP Print Group,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBRAMS,,"Bramson Productions, Inc.",,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBRAVER,,Braverman Greenspun,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBRDDIS,,"Broadfield Distributors, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBRDESI,,BR Design Associates LLC,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBRDPNT,,Brandpoint Services,,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BENBRDWI,,Bread for the World Institute,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBRILLA,,Brilla College Preparatory Charter Schools,,,3,,,3,,,6,
BENEFL,,Clarity Benefit Solutions,,BENBRNBNK,,Brunswick Bank and Trust,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENBROCK,,Brock & Co,,,19,,,0,,,19,
BENEFL,,Clarity Benefit Solutions,,BENBRONXC,,The Bronx Charter School for Children,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBRUCET,,Township of Bruce,,,34,,,0,,,34,
BENEFL,,Clarity Benefit Solutions,,BENBRUNSP,,"BRUNS-PAK Enterprises, Inc.",,,1,,,2,,,3,
BENEFL,,Clarity Benefit Solutions,,BENBUBTRI,,Bubby's Tribeca,,,4,,,1,,,5,
BENEFL,,Clarity Benefit Solutions,,BENBURHAP,,"Buro Happold Engineering, Inc.",,,7,,,3,,,10,
BENEFL,,Clarity Benefit Solutions,,BENBURNES,,Burness Communications Inc,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBUSBY,,Busby Metals Inc.,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENBUSH,,Bush Refrigeration Inc.,,,1,,,2,,,3,
BENEFL,,Clarity Benefit Solutions,,BENBUSTLE,,"BDG Media, Inc.",,,41,,,11,,,52,
BENEFL,,Clarity Benefit Solutions,,BENCACREP,,CACREP- Council for Accreditation of Counseling,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCAINK,,Cape Atlantic INK,,,3,,,1,,,4,
BENEFL,,Clarity Benefit Solutions,,BENCALCO,,"Calco Fence, Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCANTOR,,Beech Hill Securities,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCAPCCC,,Capitol County Childrens Collaborative,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCARDOZ,,Cardoza Plumbing Corp.,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCARR,,Carr Properties ,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCARY,,"Cary Compounds, LLC",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCASA,,CASA,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BENCASIS,,CASIS,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCASTLE,,Castle Harlan Inc.,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCBX,,"CBX, LLC",,,0,,,4,,,4,
BENEFL,,Clarity Benefit Solutions,,BENCCHCIN,,"Chinese Christian Herald Crusades, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCCSB,,Cross County Savings Bank,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCDCUSA,,Curtainwall Design Consulting,,,0,,,3,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCDRLKE,,Cedar Lake Estate,,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCEMENT,,"Cementex Products, Inc. ",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCENBUS,,"Centric Business Systems, Inc.",,,2,,,1,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCEPF,,Chicago Public Education Fund,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCFC,,Continental Finance Company LLC,,,0,,,10,,,10,
BENEFL,,Clarity Benefit Solutions,,BENCFIRE,,"Capitol Fire Sprinkler Co., Inc.",,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCFT,,Commercial Furniture Transport,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCGRLLP,,Clarick Gueron Reisbaum LLP,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCHAMPE,,Champion Elevator Corporation,,,2,,,0,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCHCANY,,Community Health Care Association of NY State,,,4,,,0,,,4,
BENEFL,,Clarity Benefit Solutions,,BENCHCTY,,Church of the City New York,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCHEFFO,,"Chefler Foods, LLC",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCHEMB,,"ChemBio Diagnostic Systems, Inc.",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCHESTR,,"Chesterfield Associates, Inc.",,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCHIMNY,,Chimney Rock Inn,,,0,,,3,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCHOICE,,"Choice Canning, Inc.",,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCHSTR,,Charter Township of Chesterfield,,,0,,,8,,,8,
BENEFL,,Clarity Benefit Solutions,,BENCIRCAH,,"Circa Healthcare, LLC",,,16,,,0,,,16,
BENEFL,,Clarity Benefit Solutions,,BENCITNAL,,Citnalta Construction Corp,,,2,,,4,,,6,
BENEFL,,Clarity Benefit Solutions,,BENCJCPCS,,Central Jersey College Prep Charter Sch,,,4,,,4,,,8,
BENEFL,,Clarity Benefit Solutions,,BENCKITCH,,Century Kitchens Inc,,,8,,,0,,,8,
BENEFL,,Clarity Benefit Solutions,,BENCLASIC,,"Classic Homecare, Inc.",,,5,,,1,,,6,
BENEFL,,Clarity Benefit Solutions,,BENCLLRS,,"Colliers International Houston, Inc.",,,0,,,3,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCLRKSN,,Clarksons Platou Shipping Services USA L,,,3,,,19,,,22,
BENEFL,,Clarity Benefit Solutions,,BENCMACWP,,Ridgeway Alliance Church,,,1,,,0,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCMHOPE,,Community of Hope,,,1,,,1,,,2,
BENEFL,,Clarity Benefit Solutions,,BENCMRC,,Crotched Mountain Rehabilitation Center Inc,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCMSFM,,CMS Facilities Management Services LLC,,,0,,,1,,,1,
BENEFL,,Clarity Benefit Solutions,,BENCMSI,,"Community Mediation Services, Inc.",,,3,,,0,,,3,
BENEFL,,Clarity Benefit Solutions,,BENCOLESM,,Cole Schotz P.C.,,,12,,,3,,,15,
BENEFL,,Clarity Benefit Solutions,,BENCOLFAC,,"Happy Factory, LLC DBA Color Factory LLC",,,5,,,0,,,5,
